uid,m2,bdmbidprice,treatment,bought_ao
1019208F,W1,290,,0
1030033,W1,40,3,0
1027123F,W2,,,0
2013022,W1,190,1,0
2014002,W1,40,3,0
1038213F,W1,40,,0
1038211F,W1,190,,1
1038120F,W1,90,,1
1033024,W1,,3,0
2012106F,W1,40,,0
1010002,W1,90,2,1
1037026,W1,140,3,0
2017021,W1,190,3,1
2041049E,W1,0,,0
2026117F,W1,40,,0
2007102F,W1,190,,1
1034004,W1,40,3,0
2017208F,W1,140,,1
2041005E,W2,,,1
1032022,W1,40,3,0
2025123F,W1,40,,0
2007125F,W2,,,1
2009117F,W1,40,,0
2041020E,W2,,,1
2026201F,W1,40,,0
1011021,W2,,2,1
2009110F,W1,40,,0
2018027,W1,290,3,1
2040015,W2,,3,0
1016009,W2,,2,0
1002006,W1,40,1,1
2017119F,W1,40,,0
1023021,W1,,2,0
2041099E,W2,,,0
1023017,W1,,1,0
2026012,W1,40,1,0
2025033,W1,40,2,0
2009203F,W1,190,,1
1031038,W1,40,3,0
1022001,W1,40,2,0
2041036E,W1,40,,0
2041048E,W1,40,,0
2041025E,W1,390,,0
2041012E,W2,,,0
2007127F,W2,,,1
2017117F,W1,90,,0
2017120F,W1,390,,1
1005005,W1,40,3,0
1037038,W1,140,2,1
2041064E,W2,,,0
2029117F,W1,40,,0
2041031E,W2,,,1
2041065E,W1,0,,0
1038010,W2,,1,0
2041084E,W2,,,0
2008023,W1,,3,0
1005034,W2,,2,0
2041045E,W1,290,,1
1019015,W2,,1,1
1006007,W1,140,3,1
2013202F,W2,,,1
1038009,W2,,2,1
2041054E,W2,,,0
2035014,W1,40,3,0
2041083E,W1,0,,0
2040020,W2,,2,0
2028019,W1,190,1,1
1032032,W1,40,2,0
1016004,W1,40,2,0
1023005,W1,,3,0
1038025,W1,90,1,0
2041066E,W1,40,,0
2041046E,W1,290,,1
1010005,W1,140,2,0
2021130F,W2,,,0
2041023E,W2,,,1
2041067E,W1,40,,0
1031031,W1,40,3,0
2014005,W1,40,2,0
1005018,W1,40,2,0
1005017,W2,,1,0
2028102F,W1,40,,1
2024003,W1,190,1,1
2024021,W1,190,2,1
1032019,W1,90,2,1
2021119F,W2,,,0
2041060E,W2,,,1
1030021,W2,,2,0
2021104F,W1,0,,0
1004017,W1,40,3,1
1038003,W2,,1,0
2041059E,W2,,,0
2015003,W2,,2,0
1041064E,W2,,,0
2017014,W1,190,3,1
1011004,W1,0,1,0
1037017,W2,,1,0
1041198E,W1,90,,0
1019006,W1,290,2,1
1041034E,W1,90,,1
2015026,W1,40,2,1
1006112F,W1,90,,0
2040025,W1,290,1,1
1011036,W1,140,2,1
2021022,W1,90,1,1
1023117F,W2,,,0
1027013,W1,90,2,0
2040005,W2,,1,1
1041077E,W1,40,,0
1023208F,W1,90,,0
1032131F,W1,40,,0
1011015,W1,90,3,0
1001002,W1,90,2,0
1023122F,W1,140,,1
1032105F,W1,240,,1
1002029,W2,,1,1
2036030,W2,,2,0
1041006E,W1,40,,0
1010026,W2,,1,0
1041013E,W1,90,,1
1002027,W2,,2,0
2024004,W1,490,3,0
1041197E,W1,40,,1
2009013,W1,90,3,0
1032010,W1,40,2,0
1032129F,W2,,,0
1038011,W2,,2,0
1027135F,W1,40,,1
1038209F,W1,40,,0
1032024,W1,40,3,0
1016010,W1,240,1,0
1023109F,W1,90,,1
2020014,W1,,1,0
1034038,W1,90,2,1
2028028,W1,140,2,0
1037011,W2,,1,0
2036018,W2,,3,1
1031021,W2,,1,1
1033031,W2,,3,0
1039011,W2,,2,1
1005023,W1,490,3,1
1041069E,W1,40,,0
1033025,W1,90,3,1
2013030,W1,390,2,1
1023014,W1,,3,0
2013012,W1,40,2,0
1037002,W1,,3,0
1039124F,W1,40,,1
1006122F,W1,40,,0
1010108F,W1,40,,0
2024012,W2,,1,1
2013003,W1,190,3,0
1033125F,W1,90,,1
